Bus Monitor Log File,,,,
Date: 7/27/2021 2:33:17 PM,,,,
 ,,,,
---------------------------------------------------,,,,
 ,,,,
Date, ID, Counts, Data, MsgType
31:50.5,0x168,CAN 1,71,E6 00 C8 00 00 00 00 0A 
31:50.5,0x168,CAN 1,72,FB 00 C8 00 00 00 00 0B 
31:50.6,0x168,CAN 1,73,A8 00 C8 00 00 00 00 0C 
31:50.6,0x168,CAN 1,74,B5 00 C8 00 00 00 00 0D 
31:50.6,0x168,CAN 1,75,92 00 C8 00 00 00 00 0E 
31:50.6,0x168,CAN 1,76,34 00 C8 00 00 00 00 00 
31:50.6,0x168,CAN 1,77,29 00 C8 00 00 00 00 01 
31:50.7,0x168,CAN 1,78,0E 00 C8 00 00 00 00 02 
31:50.7,0x168,CAN 1,79,13 00 C8 00 00 00 00 03 
31:50.7,0x168,CAN 1,80,40 00 C8 00 00 00 00 04 
31:50.7,0x168,CAN 1,81,5D 00 C8 00 00 00 00 05 
31:50.7,0x168,CAN 1,82,7A 00 C8 00 00 00 00 06 
31:50.8,0x168,CAN 1,83,67 00 C8 00 00 00 00 07 
31:50.8,0x168,CAN 1,84,DC 00 C8 00 00 00 00 08 
31:50.8,0x168,CAN 1,85,C1 00 C8 00 00 00 00 09 
31:50.8,0x168,CAN 1,86,E6 00 C8 00 00 00 00 0A 
31:50.8,0x168,CAN 1,87,FB 00 C8 00 00 00 00 0B 
31:50.9,0x168,CAN 1,88,A8 00 C8 00 00 00 00 0C 
31:50.9,0x168,CAN 1,89,B5 00 C8 00 00 00 00 0D 
31:50.9,0x168,CAN 1,90,92 00 C8 00 00 00 00 0E 
31:50.9,0x168,CAN 1,91,34 00 C8 00 00 00 00 00 
31:50.9,0x168,CAN 1,92,29 00 C8 00 00 00 00 01 
31:51.0,0x168,CAN 1,93,0E 00 C8 00 00 00 00 02 
31:51.0,0x168,CAN 1,94,13 00 C8 00 00 00 00 03 
31:51.0,0x168,CAN 1,95,40 00 C8 00 00 00 00 04 
31:51.0,0x168,CAN 1,96,5D 00 C8 00 00 00 00 05 
31:51.0,0x168,CAN 1,97,7A 00 C8 00 00 00 00 06 
31:51.1,0x168,CAN 1,98,67 00 C8 00 00 00 00 07 
31:51.1,0x168,CAN 1,99,DC 00 C8 00 00 00 00 08 
31:51.1,0x168,CAN 1,100,C1 00 C8 00 00 00 00 09 
31:51.1,0x168,CAN 1,101,E6 00 C8 00 00 00 00 0A 
31:51.1,0x168,CAN 1,102,FB 00 C8 00 00 00 00 0B 
31:51.2,0x168,CAN 1,103,A8 00 C8 00 00 00 00 0C 
31:51.2,0x168,CAN 1,104,B5 00 C8 00 00 00 00 0D 
31:51.2,0x168,CAN 1,105,92 00 C8 00 00 00 00 0E 
31:51.2,0x265,CAN 1,1,B4 20 00 00 00 00 00 08 
31:51.2,0x271,CAN 1,1,A9 00 00 00 00 00 00 48 
31:51.2,0x168,CAN 1,106,34 00 C8 00 00 00 00 00 
31:51.2,0x265,CAN 1,2,A9 20 00 00 00 00 00 09 
31:51.2,0x271,CAN 1,2,B4 00 00 00 00 00 00 49 
31:51.2,0x168,CAN 1,107,29 00 C8 00 00 00 00 01 
31:51.3,0x271,CAN 1,3,93 00 00 00 00 00 00 4A 
31:51.3,0x265,CAN 1,3,8E 20 00 00 00 00 00 0A 
31:51.3,0x168,CAN 1,108,0E 00 C8 00 00 00 00 02 
31:51.3,0x271,CAN 1,4,8E 00 00 00 00 00 00 4B 
31:51.3,0x265,CAN 1,4,93 20 00 00 00 00 00 0B 
31:51.3,0x168,CAN 1,109,13 00 C8 00 00 00 00 03 
31:51.3,0x271,CAN 1,5,DD 00 00 00 00 00 00 4C 
31:51.3,0x265,CAN 1,5,C0 20 00 00 00 00 00 0C 
31:51.3,0x168,CAN 1,110,40 00 C8 00 00 00 00 04 
31:51.3,0x271,CAN 1,6,C0 00 00 00 00 00 00 4D 
31:51.3,0x265,CAN 1,6,DD 20 00 00 00 00 00 0D 
31:51.3,0x168,CAN 1,111,5D 00 C8 00 00 00 00 05 
31:51.3,0x265,CAN 1,7,FA 20 00 00 00 00 00 0E 
31:51.3,0x271,CAN 1,7,E7 00 00 00 00 00 00 4E 
31:51.3,0x168,CAN 1,112,7A 00 C8 00 00 00 00 06 
31:51.4,0x265,CAN 1,8,E7 20 00 00 00 00 00 0F 
31:51.4,0x271,CAN 1,8,FA 00 00 00 00 00 00 4F 
31:51.4,0x168,CAN 1,113,67 00 C8 00 00 00 00 07 
31:51.4,0x265,CAN 1,9,5C 20 00 00 00 00 00 00 
31:51.4,0x271,CAN 1,9,41 00 00 00 00 00 00 40 
31:51.4,0x168,CAN 1,114,DC 00 C8 00 00 00 00 08 
31:51.4,0x265,CAN 1,10,41 20 00 00 00 00 00 01 
31:51.4,0x271,CAN 1,10,5C 00 00 00 00 00 00 41 
31:51.4,0x168,CAN 1,115,C1 00 C8 00 00 00 00 09 
31:51.4,0x265,CAN 1,11,66 20 00 00 00 00 00 02 
31:51.4,0x271,CAN 1,11,7B 00 00 00 00 00 00 42 
31:51.4,0x168,CAN 1,116,E6 00 C8 00 00 00 00 0A 
31:51.4,0x271,CAN 1,12,66 00 00 00 00 00 00 43 
31:51.4,0x265,CAN 1,12,7B 20 00 00 00 00 00 03 
31:51.4,0x168,CAN 1,117,FB 00 C8 00 00 00 00 0B 
31:51.5,0x271,CAN 1,13,35 00 00 00 00 00 00 44 
31:51.5,0x265,CAN 1,13,28 20 00 00 00 00 00 04 
31:51.5,0x168,CAN 1,118,A8 00 C8 00 00 00 00 0C 
31:51.5,0x271,CAN 1,14,28 00 00 00 00 00 00 45 
31:51.5,0x265,CAN 1,14,35 20 00 00 00 00 00 05 
31:51.5,0x168,CAN 1,119,B5 00 C8 00 00 00 00 0D 
31:51.5,0x271,CAN 1,15,0F 00 00 00 00 00 00 46 
31:51.5,0x265,CAN 1,15,12 20 00 00 00 00 00 06 
31:51.5,0x168,CAN 1,120,92 00 C8 00 00 00 00 0E 
31:51.5,0x271,CAN 1,16,12 00 00 00 00 00 00 47 
31:51.5,0x265,CAN 1,16,0F 20 00 00 00 00 00 07 
31:51.5,0x168,CAN 1,121,34 00 C8 00 00 00 00 00 
31:51.5,0x271,CAN 1,17,A9 00 00 00 00 00 00 48 
31:51.5,0x265,CAN 1,17,B4 20 00 00 00 00 00 08 
31:51.5,0x168,CAN 1,122,29 00 C8 00 00 00 00 01 
31:51.6,0x271,CAN 1,18,B4 00 00 00 00 00 00 49 
31:51.6,0x265,CAN 1,18,A9 20 00 00 00 00 00 09 
31:51.6,0x168,CAN 1,123,0E 00 C8 00 00 00 00 02 
31:51.6,0x271,CAN 1,19,93 00 00 00 00 00 00 4A 
31:51.6,0x265,CAN 1,19,8E 20 00 00 00 00 00 0A 
31:51.6,0x168,CAN 1,124,13 00 C8 00 00 00 00 03 
31:51.6,0x271,CAN 1,20,8E 00 00 00 00 00 00 4B 
31:51.6,0x265,CAN 1,20,93 20 00 00 00 00 00 0B 
31:51.6,0x168,CAN 1,125,40 00 C8 00 00 00 00 04 
31:51.6,0x271,CAN 1,21,DD 00 00 00 00 00 00 4C 
31:51.6,0x265,CAN 1,21,C0 20 00 00 00 00 00 0C 
31:51.6,0x168,CAN 1,126,5D 00 C8 00 00 00 00 05 
31:51.6,0x271,CAN 1,22,C0 00 00 00 00 00 00 4D 
31:51.6,0x265,CAN 1,22,DD 20 00 00 00 00 00 0D 
31:51.6,0x168,CAN 1,127,7A 00 C8 00 00 00 00 06 
31:51.7,0x271,CAN 1,23,E7 00 00 00 00 00 00 4E 
